time,ds_id,lon,lat
8,4,118.881861,24.853954
8,4,119.03055,24.863069
8,4,118.841803,24.71072
8,4,118.821902,24.801125
8,4,119.109173,24.791198
8,4,118.989515,24.665227
8,4,119.226631,24.838389
8,4,118.959079,24.846585
8,4,118.891553,24.747044
8,4,118.969905,24.638907
8,4,119.079874,24.83686
8,4,119.168803,24.917527
8,4,118.802765,24.648392
16,4,118.882341,24.853697
16,4,119.030935,24.86441
16,4,118.842514,24.709953
16,4,118.822815,24.800647
16,4,119.110168,24.790857
16,4,118.990282,24.665161
16,4,119.227455,24.834651
16,4,118.959529,24.844302
16,4,118.892445,24.746127
16,4,119.080424,24.838841
16,4,119.169134,24.918333
16,4,118.803837,24.648302
24,4,118.883466,24.852778
24,4,119.031885,24.86509
24,4,118.843428,24.709314
24,4,118.823422,24.800601
24,4,119.110901,24.794763
24,4,118.99051,24.663761
24,4,119.227388,24.834848
24,4,118.958927,24.844153
24,4,118.893569,24.746218
24,4,118.969797,24.637512
24,4,119.081294,24.840772
24,4,119.171309,24.915446
24,4,118.805988,24.648501
24,4,118.957359,24.6631
32,4,118.88374,24.852649
32,4,118.844322,24.708886
32,4,118.823881,24.800909
32,4,119.112162,24.791757
32,4,118.990379,24.66202
32,4,119.227606,24.834074
32,4,118.959508,24.841574
32,4,118.894807,24.746638
32,4,118.968759,24.635195
32,4,119.082665,24.840003
32,4,119.172633,24.914313
32,4,118.957147,24.663053
40,4,118.88388,24.852754
40,4,119.033586,24.865977
40,4,118.845342,24.708366
40,4,118.824883,24.800037
40,4,119.11317,24.791042
40,4,118.990151,24.660021
40,4,119.228141,24.831391
40,4,118.958549,24.842345
40,4,118.895967,24.74704
40,4,118.967778,24.633066
40,4,119.172706,24.916316
40,4,118.807874,24.648165
40,4,118.957319,24.663515
48,4,118.885296,24.851409
48,4,119.035074,24.864931
48,4,118.845932,24.707248
48,4,118.825325,24.800498
48,4,119.114079,24.792286
48,4,118.990726,24.659611
48,4,119.227807,24.833838
48,4,118.958329,24.841432
48,4,118.896773,24.745884
48,4,118.968753,24.633618
48,4,119.084731,24.842133
48,4,119.174867,24.913504
48,4,118.80899,24.64809
48,4,118.955935,24.661383
56,4,118.885367,24.851735
56,4,119.035851,24.865603
56,4,118.846983,24.706928
56,4,119.114917,24.793395
56,4,118.990537,24.65795
56,4,119.228184,24.832481
56,4,118.957693,24.841574
56,4,118.898068,24.746379
56,4,119.0861,24.841954
56,4,119.176113,24.912327
56,4,118.955639,24.661112
64,4,118.886469,24.850507
64,4,119.037123,24.865089
64,4,118.847776,24.706278
64,4,118.826865,24.799683
64,4,118.991638,24.658283
64,4,119.228418,24.83148
64,4,118.957922,24.839817
64,4,118.898887,24.744653
64,4,118.968813,24.632149
64,4,119.087401,24.841755
64,4,118.812722,24.648419
64,4,118.953692,24.65819
72,4,118.886104,24.851269
72,4,119.038283,24.864773
72,4,118.848412,24.705434
72,4,118.82795,24.798976
72,4,119.117238,24.790683
72,4,118.991439,24.656482
72,4,119.228995,24.82776
72,4,118.957965,24.838125
72,4,118.899947,24.745004
72,4,119.088404,24.842962
72,4,119.177392,24.913735
72,4,118.81346,24.648152
72,4,118.954087,24.658901
