time,position
6,"(117.468832, 23.522032, 0)"
6,"(117.436224, 23.496875, 0)"
6,"(117.703285, 23.569374, 0)"
6,"(117.59561, 23.577552, 0)"
6,"(117.623276, 23.613884, 0)"
6,"(117.724194, 23.721762, 0)"
6,"(117.573895, 23.587949, 0)"
6,"(117.574438, 23.659796, 0)"
6,"(117.60459, 23.623146, 0)"
6,"(117.563277, 23.597408, 0)"
6,"(117.663731, 23.59583, 0)"
6,"(117.781034, 23.587343, 0)"
6,"(117.627208, 23.613056, 0)"
6,"(117.53603, 23.594158, 0)"
6,"(117.359681, 23.512772, 0)"
12,"(117.466832, 23.523851, 0)"
12,"(117.437211, 23.496266, 0)"
12,"(117.705489, 23.569362, 0)"
12,"(117.597454, 23.577067, 0)"
12,"(117.724834, 23.722018, 0)"
12,"(117.572578, 23.589545, 0)"
12,"(117.574976, 23.66031, 0)"
12,"(117.605843, 23.623028, 0)"
12,"(117.66488, 23.595502, 0)"
12,"(117.785609, 23.587123, 0)"
12,"(117.625838, 23.614646, 0)"
12,"(117.360756, 23.512154, 0)"
12,"(117.52823, 23.64059, 0)"
12,"(117.753905, 23.59606, 0)"
12,"(118.804628, 24.646861, 0)"
18,"(117.468354, 23.52316, 0)"
18,"(117.706407, 23.569689, 0)"
18,"(117.59707, 23.577603, 0)"
18,"(117.627479, 23.611312, 0)"
18,"(117.724321, 23.72271, 0)"
18,"(117.576409, 23.588181, 0)"
18,"(117.576325, 23.660302, 0)"
18,"(117.609079, 23.621753, 0)"
18,"(117.566722, 23.597126, 0)"
18,"(117.666514, 23.594989, 0)"
18,"(117.78497, 23.587574, 0)"
18,"(117.627315, 23.614846, 0)"
18,"(117.535793, 23.592449, 0)"
18,"(117.357862, 23.514832, 0)"
18,"(117.755963, 23.595994, 0)"
18,"(118.804092, 24.648688, 0)"
24,"(117.470232, 23.522281, 0)"
24,"(117.434948, 23.498191, 0)"
24,"(117.706879, 23.570267, 0)"
24,"(117.597732, 23.577812, 0)"
24,"(117.727467, 23.721989, 0)"
24,"(117.575988, 23.661437, 0)"
24,"(117.609935, 23.621825, 0)"
24,"(117.567339, 23.597514, 0)"
24,"(117.66915, 23.594151, 0)"
24,"(117.629938, 23.614478, 0)"
24,"(117.532901, 23.593334, 0)"
24,"(117.360143, 23.513188, 0)"
24,"(117.528609, 23.642247, 0)"
24,"(117.754562, 23.596552, 0)"
24,"(118.803827, 24.650217, 0)"
30,"(117.473784, 23.520303, 0)"
30,"(117.43707, 23.496784, 0)"
30,"(117.709546, 23.570102, 0)"
30,"(117.594803, 23.579609, 0)"
30,"(117.62636, 23.611366, 0)"
30,"(117.72728, 23.72252, 0)"
30,"(117.578095, 23.588908, 0)"
30,"(117.577239, 23.661389, 0)"
30,"(117.568437, 23.597759, 0)"
30,"(117.668667, 23.594386, 0)"
30,"(117.789756, 23.587812, 0)"
